state,date,state_new_cases_per_100000,state_new_deaths_per_100000
Arizona,8/9/2020,16.84411082,0.766909019
Missouri,8/9/2020,16.78669108,0.135244907
Puerto Rico,8/9/2020,16.58762507,0.219081841
North Carolina,8/9/2020,15.15573842,0.287540789
Iowa,8/9/2020,14.46611067,0.239894826
Virginia,8/9/2020,13.92732549,0.181135736
Wisconsin,8/9/2020,13.83463158,0.122865289
Indiana,8/9/2020,13.81418746,0.140895746
Kansas,8/9/2020,13.69441581,0.093226048
Illinois,8/9/2020,13.62970351,0.146881471
Utah,8/9/2020,13.34072376,0.112980384
Nebraska,8/9/2020,12.81018796,0.146860536
Hawaii,8/9/2020,12.63144726,0.050284424
Minnesota,8/9/2020,12.60493943,0.112021275
Maryland,8/9/2020,12.36198677,0.165488444
Kentucky,8/9/2020,12.13920707,0.099108617
South Dakota,8/9/2020,10.52521639,0.178119047
Montana,8/9/2020,10.20691529,0.188269847
District of Columbia,8/9/2020,9.741345912,0.101684195
Rhode Island,8/9/2020,9.674100366,0.094579194
Ohio,8/9/2020,9.553187275,0.171094566
Washington,8/9/2020,9.287355734,0.174410436
Delaware,8/9/2020,9.246407453,0.088623714
New Mexico,8/9/2020,8.856015505,0.211344481
Alaska,8/9/2020,8.349370194,0.038744177
Oregon,8/9/2020,7.414353732,0.102266948
Colorado,8/9/2020,7.356602437,0.035115047
Michigan,8/9/2020,7.100043225,0.134054761
West Virginia,8/9/2020,6.621403795,0.174039287
Wyoming,8/9/2020,5.983938812,0.04945404
Pennsylvania,8/9/2020,5.888493199,0.098160144
Massachusetts,8/9/2020,5.34409128,0.200765629
New Jersey,8/9/2020,3.885525959,0.099156014
New York,8/9/2020,3.334905924,0.046785177
New Hampshire,8/9/2020,2.116857707,0.021063261
Connecticut,8/9/2020,2.039293996,0.035987541
Maine,8/9/2020,0.917937655,0.037357928
Vermont,8/9/2020,0.752721258,0.022809735
Northern Mariana Islands,8/9/2020,,
American Samoa,8/9/2020,,
Virgin Islands,8/9/2020,,
Guam,8/9/2020,,
Louisiana,8/8/2020,38.21599894,0.790929546
Mississippi,8/8/2020,32.35958023,0.865792169
Georgia,8/8/2020,31.79816483,0.490247171
Alabama,8/8/2020,31.63515801,0.444248339
Florida,8/8/2020,31.22097598,0.729064016
Nevada,8/8/2020,29.871835,0.550828163
Idaho,8/8/2020,27.58265513,0.309459963
Arkansas,8/8/2020,26.72446381,0.364984696
Texas,8/8/2020,26.32682921,0.737633019
Tennessee,8/8/2020,26.16792927,0.312301712
South Carolina,8/8/2020,24.89822034,0.71932563
Oklahoma,8/8/2020,19.37934434,0.195641166
Arizona,8/8/2020,18.13690031,0.776868877
California,8/8/2020,17.25356381,0.3474187
North Dakota,8/8/2020,17.02834995,0.169155794
Puerto Rico,8/8/2020,15.88119791,0.219081841
North Carolina,8/8/2020,15.05392972,0.282037616
Missouri,8/8/2020,14.89792601,0.118922245
Iowa,8/8/2020,14.67432127,0.239894826
Wisconsin,8/8/2020,14.57428062,0.120407984
Kansas,8/8/2020,14.08694654,0.10794595
